OUTCOME,COMMIT,VALUE,JOBSTYLE,TEAMWORK,LEADERSH,LEARNING,ENVIRONM,TENURE
2.666666667,7,4.333333333,3,3.666666667,3.333333333,4,3.666666667,0.083333333
3.666666667,6.666666667,4,3.666666667,4.666666667,3.666666667,4,3.666666667,0.083333333
4,7.666666667,4.333333333,2.666666667,3.666666667,4,3.666666667,4,0.083333333
4.666666667,8,4,3,4.666666667,4.333333333,3.666666667,4,0.083333333
2.666666667,7.666666667,4.333333333,3.333333333,4,4,4,4,0.083333333
3.333333333,7.666666667,4.666666667,4.333333333,4.333333333,4.333333333,4,4,0.083333333
4,8,4,4,4.666666667,4.666666667,4.333333333,4,0.083333333
3.666666667,8.333333333,4.333333333,3.333333333,4.666666667,4.666666667,4.333333333,4.333333333,0.083333333
5,9.666666667,5,5,5,5,4.333333333,4.333333333,0.083333333
5,10,3.333333333,4,5,5.666666667,5.333333333,4.666666667,0.083333333
4.666666667,11,3,4.333333333,4,5.333333333,5,5,0.083333333
3.333333333,9,4.666666667,4.333333333,5,5,5,5.333333333,0.083333333
3.666666667,7.333333333,3.666666667,2.333333333,3.666666667,4,2.666666667,2.333333333,0.166666667
3.666666667,9.666666667,1,4.666666667,4.333333333,6,6,3,0.166666667
3,9,3.666666667,4,4.666666667,5.333333333,4.333333333,4.333333333,0.166666667
4.666666667,10,5.333333333,4.666666667,5,6,6,4.333333333,0.166666667
4.666666667,10,3.666666667,3.666666667,4,4,4.333333333,4.666666667,0.166666667
4.666666667,10.33333333,4.666666667,4,5,6,6,4.666666667,0.166666667
4.666666667,11.33333333,5.333333333,5,5.666666667,6,6,5.333333333,0.166666667
4.666666667,11.66666667,5.666666667,5.666666667,4.666666667,5.333333333,6,5.666666667,0.166666667
3.333333333,8.666666667,4,4,4,4,4,3.666666667,0.25
3,8.333333333,4,4,4,5,4.666666667,4.666666667,0.25
4.666666667,12,5,5.333333333,6,6,6,6,0.25
4.333333333,8.333333333,4,3.666666667,4,3.666666667,3,3.666666667,0.333333333
3.666666667,7.666666667,4.333333333,4.333333333,3.666666667,5,4.333333333,4.333333333,0.333333333
4,8.666666667,4,3.666666667,4.333333333,5,4.333333333,4.333333333,0.333333333
5,10,4.333333333,5.333333333,5,6,4.666666667,4.333333333,0.333333333
5,12,5,4,5.666666667,5.333333333,6,5.333333333,0.333333333
3.333333333,7.666666667,2.333333333,4.333333333,6,6,5,5,0.416666667
4.333333333,11.33333333,5,5.666666667,5,6,5.666666667,5,0.416666667
3.333333333,10.66666667,4.666666667,5.333333333,5.333333333,5,5.666666667,5.333333333,0.416666667
