Y,ME,X,MO,XMO,MOME
4.333333333,1,5.933333333,0,0,0
4.333333333,3,5.866666667,0,0,0
4.333333333,5.666666667,5.766666667,0,0,0
5.5,4.333333333,5.5,0,0,0
5.333333333,3.333333333,5.2,0,0,0
5.333333333,4,5.1,0,0,0
5,3.666666667,5.066666667,0,0,0
4.416666667,3.666666667,5,0,0,0
4.833333333,1.666666667,4.966666667,0,0,0
4.5,3.666666667,4.9,0,0,0
5,3,4.866666667,0,0,0
4.166666667,4.666666667,4.666666667,1,4.666666667,4.666666667
3.666666667,1.666666667,4.433333333,1,4.433333333,1.666666667
5,3.333333333,4.233333333,0,0,0
4.5,3.666666667,4.066666667,0,0,0
4.166666667,3.666666667,3.9,0,0,0
3.666666667,6,3.866666667,0,0,0
4,4.333333333,3.666666667,0,0,0
4.333333333,3,3.333333333,0,0,0
4.333333333,1.666666667,3,0,0,0
5,3.666666667,5.066666667,0,0,0
4.333333333,4.666666667,5,0,0,0
5.333333333,5.666666667,5,0,0,0
5.5,2.666666667,4.566666667,0,0,0
4.166666667,4.666666667,4.533333333,0,0,0
5.5,2.666666667,4.466666667,0,0,0
4.333333333,4,4.4,0,0,0
4.333333333,4,4.366666667,0,0,0
5.166666667,3.666666667,4.233333333,0,0,0
4,3.666666667,4.166666667,0,0,0
3.333333333,3.333333333,4.033333333,0,0,0
4.666666667,4.666666667,4,0,0,0
5.333333333,3,4,0,0,0
4,3.666666667,3.9,0,0,0
3.666666667,3.333333333,3.766666667,0,0,0
4.166666667,3.666666667,4.333333333,0,0,0
5.833333333,3.333333333,3.733333333,0,0,0
4.166666667,3,3.7,0,0,0
2.5,4.333333333,3.466666667,0,0,0
4,3.333333333,3.166666667,1,3.166666667,3.333333333
4.333333333,4,2.933333333,0,0,0
2.083333333,4.333333333,2.766666667,0,0,0
3.166666667,4,2.7,1,2.7,4
2.166666667,5.666666667,2.633333333,0,0,0
1.5,5,2.366666667,0,0,0
2.833333333,3.333333333,2.166666667,0,0,0
4.833333333,5,4.466666667,0,0,0
4.833333333,3.666666667,4.4,0,0,0
4.335,3.666666667,4.133333333,0,0,0
4,3.333333333,4.133333333,0,0,0
3.666666667,4,3.966666667,0,0,0
4,3.333333333,3.933333333,1,3.933333333,3.333333333
3.5,3.666666667,3.933333333,0,0,0
3.833333333,3.666666667,3.9,0,0,0
4,4,3.833333333,0,0,0
4.166666667,4,3.8,0,0,0
4.5,3.666666667,3.733333333,1,3.733333333,3.666666667
4.166666667,3.666666667,3.533333333,0,0,0
3.166666667,4.333333333,3.4,1,3.4,4.333333333
2.666666667,4.666666667,3.366666667,0,0,0
2.5,3.666666667,3.3,0,0,0
5,3.333333333,3.2,1,3.2,3.333333333
3.833333333,3.333333333,3.166666667,0,0,0
4.833333333,3,3,0,0,0
4,3,2.8,0,0,0
3.5,4,2.766666667,0,0,0
4.833333333,2.666666667,4.633333333,0,0,0
3,3,4.233333333,0,0,0
3.833333333,4.666666667,4.233333333,1,4.233333333,4.666666667
2,5.333333333,3.933333333,1,3.933333333,5.333333333
3.5,3,3.866666667,0,0,0
2.833333333,5.333333333,3.833333333,0,0,0
3.666666667,3.333333333,3.8,0,0,0
3.5,3.666666667,3.733333333,0,0,0
3.833333333,4,3.6,1,3.6,4
3.166666667,3,3.433333333,0,0,0
3.333333333,5.666666667,3.4,0,0,0
2.833333333,4.333333333,3.4,0,0,0
4,4.666666667,3.266666667,1,3.266666667,4.666666667
2.833333333,3.666666667,3.266666667,0,0,0
2,5.666666667,3.266666667,0,0,0
2.833333333,3.666666667,3.233333333,0,0,0
3,3.333333333,3.2,0,0,0
2.5,4.666666667,3.2,1,3.2,4.666666667
3.5,3.666666667,3.166666667,0,0,0
3,4,3.1,0,0,0
2.166666667,5.666666667,2.866666667,0,0,0
3.333333333,3.333333333,2.633333333,0,0,0
3.333333333,3.666666667,2.5,0,0,0
4,4.333333333,5,0,0,0
5,3,4.7,1,4.7,3
4.666666667,2.666666667,4.633333333,0,0,0
4.583333333,2.666666667,4.6,1,4.6,2.666666667
5.166666667,1.333333333,4.533333333,1,4.533333333,1.333333333
